RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
crumbly goat cheese,GOAT CHEESE,0.8965646,8.18,2.0,"[8, 10)"
ovolini,PECORINO,0.8605667,18.85,2.0,"[18, 20)"
italian turkey sausage pork,PORK SAUSAGE,0.86531305,17.94,2.0,"[16, 18)"
pork italian sausage,PORK SAUSAGE,0.9091375,17.94,2.0,"[16, 18)"
serving,HAKE,0.8632576,10.12,2.0,"[10, 12)"
habanero pepper cheese,CHEESE SEMIHARD,0.81413275,8.65,2.0,"[8, 10)"
laura chenel goat cheese,GOAT CHEESE,0.8804381,8.18,2.0,"[8, 10)"
montrachet garlic herb goat cheese,GOAT CHEESE,0.84002423,8.18,2.0,"[8, 10)"
fontana cheese,CHEESE,0.8313584,11.87,2.0,"[10, 12)"
progresso caponata,PARMIGIANO REGGIANO,0.84748894,14.08,2.0,"[14, 16)"
steak seasoning beef stock cube,BEEF WITH BONE,0.8505447,19.54,2.0,"[18, 20)"
eye beef steak,BEEF WITH BONE,0.89183617,19.54,2.0,"[18, 20)"
goat cheese caprino,GOAT CHEESE,0.9461745,8.18,2.0,"[8, 10)"
pepato,PECORINO,0.83661985,18.85,2.0,"[18, 20)"
celentano cheese tortellini,CHEESE SEMIHARD,0.81886566,8.65,2.0,"[8, 10)"
grana,GRANA PADANO,0.9017167,14.27,2.0,"[14, 16)"
pork neck shoulder,PORK NECK,0.97534186,4.03,2.0,"[4, 6)"
meatloaf mixture beef veal pork,PORK SAUSAGE,0.84791327,17.94,2.0,"[16, 18)"
pork barbecue sauce,PORK SAUSAGE,0.8962907,17.94,2.0,"[16, 18)"
sausage meatball,PORK SAUSAGE,0.88132167,17.94,2.0,"[16, 18)"
penne rigate choice,PLAICE,0.8284654,6.13,2.0,"[6, 8)"
meatball beef,BEEF WITH BONE,0.8925505,19.54,2.0,"[18, 20)"
kraft parmesan romano asiago cheese,CHEESE SEMIHARD,0.8478396,8.65,2.0,"[8, 10)"
shake n bake pork,PORK HAM,0.87606573,7.93,2.0,"[6, 8)"
breadstick cheese bread,CHEESE SEMIHARD,0.84995025,8.65,2.0,"[8, 10)"
organic spinach cheese ravioli,CHEESE SEMIHARD,0.843991,8.65,2.0,"[8, 10)"
roast pork loin,PORK SAUSAGE,0.8926551,17.94,2.0,"[16, 18)"
pork sirloin chop,PORK SAUSAGE,0.8757495,17.94,2.0,"[16, 18)"
mozzarella parmesan cheese,CHEESE SEMIHARD,0.8670997,8.65,2.0,"[8, 10)"
kraft deluxe macaroni cheese mix,CHEESE SEMIHARD,0.8274665,8.65,2.0,"[8, 10)"
garlic cheese sauce,CHEESE SEMIHARD,0.8128325,8.65,2.0,"[8, 10)"
cacio di fossa cheese,CHEESE,0.8365363,11.87,2.0,"[10, 12)"
shellfish stock,SWARDFISH,0.830851,12.84,2.0,"[12, 14)"
meat stock beef water,BEEF WITH BONE,0.81475365,19.54,2.0,"[18, 20)"
meatloaf mixture beef pork,PORK SAUSAGE,0.85881495,17.94,2.0,"[16, 18)"
tangy goat cheese chevre,GOAT CHEESE,0.8523243,8.18,2.0,"[8, 10)"
rib roast beef neck,BEEF WITH BONE,0.8680823,19.54,2.0,"[18, 20)"
goat cheese worth,GOAT CHEESE,0.9142054,8.18,2.0,"[8, 10)"
fregola sarda,GRANA PADANO,0.844764,14.27,2.0,"[14, 16)"
scungilli,STRACCHINO,0.8345281,4.92,2.0,"[4, 6)"
vincotto,PECORINO,0.8617393,18.85,2.0,"[18, 20)"
ronzoni manicotti,PECORINO,0.82514614,18.85,2.0,"[18, 20)"
meatloaf mix beef pork,PORK SAUSAGE,0.83650327,17.94,2.0,"[16, 18)"
combination veal pork,PORK SAUSAGE,0.9116644,17.94,2.0,"[16, 18)"
pot roast gravy beef stock,PORK SAUSAGE,0.8131255,17.94,2.0,"[16, 18)"
capicola mozzarella,MOZZARELLA,0.9077054,8.48,2.0,"[8, 10)"
pork roast veal,PORK SAUSAGE,0.8908496,17.94,2.0,"[16, 18)"
veal pork neck,PORK HAM,0.91338736,7.93,2.0,"[6, 8)"
pecorino pepato cheese,CHEESE SEMIHARD,0.8731417,8.65,2.0,"[8, 10)"
cheese monterey jack,CHEESE SEMIHARD,0.8716731,8.65,2.0,"[8, 10)"
cheese sauce mozzarella,CHEESE SEMIHARD,0.84873843,8.65,2.0,"[8, 10)"
pompano fillet,MASCARPONE,0.8389925,5.7,2.0,"[4, 6)"
cheese ravioli meat,CHEESE SEMIHARD,0.8168567,8.65,2.0,"[8, 10)"
meat parma ham,PORK HAM,0.916119,7.93,2.0,"[6, 8)"
sausage patty,PORK SAUSAGE,0.89049554,17.94,2.0,"[16, 18)"
polly o natural part ricotta cheese,CHEESE SEMIHARD,0.85964847,8.65,2.0,"[8, 10)"
cheese tortellini spinach,CHEESE SEMIHARD,0.84503835,8.65,2.0,"[8, 10)"
caponata,PECORINO,0.8733378,18.85,2.0,"[18, 20)"
pecorino cheese parmesan,CHEESE SEMIHARD,0.87909853,8.65,2.0,"[8, 10)"
pizza cheese mozzarella,CHEESE SEMIHARD,0.84441,8.65,2.0,"[8, 10)"
whipping cream half,CREAM,0.83625835,5.34,2.0,"[4, 6)"
beef loin roast,PORK SAUSAGE,0.8420813,17.94,2.0,"[16, 18)"
beef chuck eye roast,BEEF WITH BONE,0.820774,19.54,2.0,"[18, 20)"
chuck pork beef,PORK SAUSAGE,0.8879132,17.94,2.0,"[16, 18)"
cambozola cheese,CHEESE,0.82829523,11.87,2.0,"[10, 12)"
gnocchi spelt,STRACCHINO,0.8544892,4.92,2.0,"[4, 6)"
butter sprinkle,BUTTER,0.8521312,9.9,2.0,"[8, 10)"
veal chop pork,PORK SAUSAGE,0.8792851,17.94,2.0,"[16, 18)"
mozzarella cheese ball,CHEESE SEMIHARD,0.86000425,8.65,2.0,"[8, 10)"
cream heavy be,CREAM,0.81779516,5.34,2.0,"[4, 6)"
epicure,HAKE,0.8202828,10.12,2.0,"[10, 12)"
alfredo sauce parmesan cheese,CHEESE SEMIHARD,0.85533834,8.65,2.0,"[8, 10)"
pot cheese ricotta,CHEESE SEMIHARD,0.8603933,8.65,2.0,"[8, 10)"
spinach cheese tortellini buitoni,CHEESE SEMIHARD,0.85173285,8.65,2.0,"[8, 10)"
tri tortellini,PECORINO,0.8472769,18.85,2.0,"[18, 20)"
extra turkey bacon,BACON,0.8174343,4.03,2.0,"[4, 6)"
brut prosecco,PECORINO,0.8659085,18.85,2.0,"[18, 20)"
truffle butter,BUTTER,0.8284471,9.9,2.0,"[8, 10)"
jimmy dean breakfast sausage,BACON,0.81105244,4.03,2.0,"[4, 6)"
veal roast meat,PORK SAUSAGE,0.8362731,17.94,2.0,"[16, 18)"
provolone cheese cube,CHEESE SEMIHARD,0.8834413,8.65,2.0,"[8, 10)"
monterey jack cheese cube,CHEESE SEMIHARD,0.8413695,8.65,2.0,"[8, 10)"
meat ravioli cheese,CHEESE SEMIHARD,0.8274838,8.65,2.0,"[8, 10)"
taglioni,STRACCHINO,0.898445,4.92,2.0,"[4, 6)"
barilla cheese tortellini,CHEESE SEMIHARD,0.8511524,8.65,2.0,"[8, 10)"
chocolate almond bark,ALMOND CHOCOLATE,0.9681694,4.8,2.0,"[4, 6)"
graham cracker cheesecake crust,CHEESE SEMIHARD,0.8193125,8.65,2.0,"[8, 10)"
meat beef bacon,BEEF WITH BONE,0.8772443,19.54,2.0,"[18, 20)"
crottin goat cheese,GOAT CHEESE,0.9555774,8.18,2.0,"[8, 10)"
jell o chocolate,CHOCOLATE,0.91096807,6.6,2.0,"[6, 8)"
chocolate more,CHOCOLATE,0.9484165,6.6,2.0,"[6, 8)"
sparerib pork chop,PORK SAUSAGE,0.91777116,17.94,2.0,"[16, 18)"
cajun sausage,PORK SAUSAGE,0.84850067,17.94,2.0,"[16, 18)"
swiss provolone cheese mix,CHEESE SEMIHARD,0.8357186,8.65,2.0,"[8, 10)"
ardbeg,CAMEMBERT,0.8487787,7.55,2.0,"[6, 8)"
beef base vegetable stock,BEEF WITH BONE,0.81202316,19.54,2.0,"[18, 20)"
cream goat cheese,GOAT CHEESE,0.8705102,8.18,2.0,"[8, 10)"
sausage patty jimmy dean,PORK SAUSAGE,0.8256561,17.94,2.0,"[16, 18)"
bologna beef,PORK SAUSAGE,0.8138503,17.94,2.0,"[16, 18)"
pork knuckle hock,PORK NECK,0.89751536,4.03,2.0,"[4, 6)"
saba,HAKE,0.83832973,10.12,2.0,"[10, 12)"
beef bouillon water bovril wate,BEEF WITH BONE,0.8449025,19.54,2.0,"[18, 20)"
butterworth,BUTTER,0.8772507,9.9,2.0,"[8, 10)"
pork roast shoulder,PORK SAUSAGE,0.9073725,17.94,2.0,"[16, 18)"
butter cookie,BUTTER,0.83333766,9.9,2.0,"[8, 10)"
sandwich bun e,BACON,0.83421195,4.03,2.0,"[4, 6)"
fish fillet coarsely,FISH MIXED,0.85182774,4.01,2.0,"[4, 6)"
parmesan cheese crouton,CHEESE SEMIHARD,0.89605576,8.65,2.0,"[8, 10)"
pork cooking oil,PORK SAUSAGE,0.86768365,17.94,2.0,"[16, 18)"
ghiradelli chocolate,CHOCOLATE,0.8899507,6.6,2.0,"[6, 8)"
individual beef rib,BEEF WITH BONE,0.9026796,19.54,2.0,"[18, 20)"
beef stock sauce,BEEF WITH BONE,0.86088717,19.54,2.0,"[18, 20)"
chavrie goat cheese garnishing,GOAT CHEESE,0.87653255,8.18,2.0,"[8, 10)"
beef broth total,BEEF WITH BONE,0.83954203,19.54,2.0,"[18, 20)"
achiote annato,HAKE,0.8475405,10.12,2.0,"[10, 12)"
beef chuck cube,BEEF WITH BONE,0.8405585,19.54,2.0,"[18, 20)"
skordalia,HAKE,0.82059354,10.12,2.0,"[10, 12)"
whipping cream water,CREAM,0.82406807,5.34,2.0,"[4, 6)"
veal beef marrow,BEEF WITH BONE,0.87844795,19.54,2.0,"[18, 20)"
sauterne chablis,CAMEMBERT,0.8170552,7.55,2.0,"[6, 8)"
beef soup rib,BEEF WITH BONE,0.90097517,19.54,2.0,"[18, 20)"
beef cutlet each,BEEF WITH BONE,0.88202125,19.54,2.0,"[18, 20)"
goat curd,GOAT CHEESE,0.84597677,8.18,2.0,"[8, 10)"
tilsit cheese,CHEESE,0.8715912,11.87,2.0,"[10, 12)"
pork chop veal,PORK SAUSAGE,0.8621679,17.94,2.0,"[16, 18)"
mizithra cheese cretan,CHEESE SEMIHARD,0.8618363,8.65,2.0,"[8, 10)"
crisply bacon,BACON,0.85095954,4.03,2.0,"[4, 6)"
beef pork tongue,PORK SAUSAGE,0.90533763,17.94,2.0,"[16, 18)"
beef rump pork shoulder,PORK SAUSAGE,0.8868598,17.94,2.0,"[16, 18)"
beef wiener,BEEF WITH BONE,0.87092686,19.54,2.0,"[18, 20)"
cervelat,CAMEMBERT,0.87903666,7.55,2.0,"[6, 8)"
center pork rib roast,PORK SAUSAGE,0.86328036,17.94,2.0,"[16, 18)"
rouladen,HAKE,0.8601536,10.12,2.0,"[10, 12)"
pineau de charentes,CAMEMBERT,0.8492588,7.55,2.0,"[6, 8)"
muslin cheesecloth,CHEESE,0.8161432,11.87,2.0,"[10, 12)"
sausage link bockwurst,PORK SAUSAGE,0.8346646,17.94,2.0,"[16, 18)"
pork shoulder loin chop,PORK SAUSAGE,0.9029182,17.94,2.0,"[16, 18)"
pitia,HAKE,0.8481168,10.12,2.0,"[10, 12)"
rennet special cheese,CHEESE SEMIHARD,0.8573742,8.65,2.0,"[8, 10)"
kraft mozzarella cheese,CHEESE SEMIHARD,0.8765831,8.65,2.0,"[8, 10)"
vanilla sugar per,VANILLA,0.8193872,4.3,2.0,"[4, 6)"
veal cutlet pork,PORK SAUSAGE,0.9158023,17.94,2.0,"[16, 18)"
pork shoulder morsel ``,PORK NECK,0.90860355,4.03,2.0,"[4, 6)"
goat cheese milk,GOAT CHEESE,0.9302386,8.18,2.0,"[8, 10)"
almond brown butter,ALMOND CHOCOLATE,0.88124806,4.8,2.0,"[4, 6)"
san gennaro polenta,PARMIGIANO REGGIANO,0.81807965,14.08,2.0,"[14, 16)"
breakfast link sausage,BACON,0.81910133,4.03,2.0,"[4, 6)"
pate pork,PORK NECK,0.92092824,4.03,2.0,"[4, 6)"
pork sausage rookworst,PORK SAUSAGE,0.957424,17.94,2.0,"[16, 18)"
leerdammer cheese,CHEESE,0.8826635,11.87,2.0,"[10, 12)"
fish mix,FISH MIXED,0.9524265,4.01,2.0,"[4, 6)"
beef flat iron steak,BEEF WITH BONE,0.86880857,19.54,2.0,"[18, 20)"
vegan bacon,BACON,0.84630346,4.03,2.0,"[4, 6)"
goat cheese hollandaise sauce,GOAT CHEESE,0.8521371,8.18,2.0,"[8, 10)"
goat cheese neufchatel,GOAT CHEESE,0.92136085,8.18,2.0,"[8, 10)"
lobster stock shrimp,LOBSTER,0.8299403,19.3,2.0,"[18, 20)"
d'espices,CAMEMBERT,0.86934185,7.55,2.0,"[6, 8)"
mock beef seasoning,BEEF WITH BONE,0.8602066,19.54,2.0,"[18, 20)"
extra pork loin,PORK SAUSAGE,0.8698238,17.94,2.0,"[16, 18)"
herb chevre cheese,CHEESE SEMIHARD,0.8297362,8.65,2.0,"[8, 10)"
rock lobster,LOBSTER,0.90510654,19.3,2.0,"[18, 20)"
bacon meat,BACON,0.92700565,4.03,2.0,"[4, 6)"
schwan pierogi,PARMIGIANO REGGIANO,0.83978003,14.08,2.0,"[14, 16)"
knorr beef bouillon,BEEF WITH BONE,0.8591687,19.54,2.0,"[18, 20)"
beef bovril powder,BEEF WITH BONE,0.8265998,19.54,2.0,"[18, 20)"
knackwurst frankfurter pork sausage,PORK SAUSAGE,0.9243902,17.94,2.0,"[16, 18)"
morton sausage seasoning,PORK SAUSAGE,0.81276625,17.94,2.0,"[16, 18)"
pork seasoning,PORK SAUSAGE,0.9056849,17.94,2.0,"[16, 18)"
nut not,SOLE,0.8761632,5.4,2.0,"[4, 6)"
dipper,PRAWN,0.8148171,11.95,2.0,"[10, 12)"
veal pork stock,PORK SAUSAGE,0.8870396,17.94,2.0,"[16, 18)"
sausage ring,PORK SAUSAGE,0.8338779,17.94,2.0,"[16, 18)"
plain matzo,SOLE,0.8238107,5.4,2.0,"[4, 6)"
chocolate bread,CHOCOLATE,0.90632343,6.6,2.0,"[6, 8)"
oka cheese salut,CHEESE SEMIHARD,0.88463336,8.65,2.0,"[8, 10)"
turkey bacon crisp,BACON,0.8263987,4.03,2.0,"[4, 6)"
buttermilk dressing feta cheese,CHEESE SEMIHARD,0.8248247,8.65,2.0,"[8, 10)"
emmenthaler cheese jarlsberg,CHEESE SEMIHARD,0.8103743,8.65,2.0,"[8, 10)"
beef chuck cross rib roast,BEEF WITH BONE,0.82814544,19.54,2.0,"[18, 20)"
kraft hickory swiss cheddar cheese,CHEESE SEMIHARD,0.83143026,8.65,2.0,"[8, 10)"
venison pork chop,PORK SAUSAGE,0.90580356,17.94,2.0,"[16, 18)"
flavoring vanilla,VANILLA,0.8521713,4.3,2.0,"[4, 6)"
chocolate cool whip,CHOCOLATE,0.87933195,6.6,2.0,"[6, 8)"
whipping cream each,CREAM,0.814494,5.34,2.0,"[4, 6)"
stew meat half beef pork,PORK SAUSAGE,0.8607664,17.94,2.0,"[16, 18)"
brut,HAKE,0.86102307,10.12,2.0,"[10, 12)"
betony,HAKE,0.89072144,10.12,2.0,"[10, 12)"
cacio di rom cheese,CHEESE,0.86815464,11.87,2.0,"[10, 12)"
veal stock beef broth,BEEF WITH BONE,0.84615374,19.54,2.0,"[18, 20)"
topping see cream,CREAM,0.925032,5.34,2.0,"[4, 6)"
beef lard burger,BEEF WITH BONE,0.8546872,19.54,2.0,"[18, 20)"
beef rump chuck,BEEF WITH BONE,0.8562002,19.54,2.0,"[18, 20)"
nacho cheese sauce choice,CHEESE SEMIHARD,0.8349534,8.65,2.0,"[8, 10)"
cheese toast,CHEESE SEMIHARD,0.8983001,8.65,2.0,"[8, 10)"
beef shin,BEEF WITH BONE,0.9148654,19.54,2.0,"[18, 20)"
milliliter cream,CREAM,0.8103473,5.34,2.0,"[4, 6)"
beef filet steak,BEEF WITH BONE,0.89466715,19.54,2.0,"[18, 20)"
lamb medallion chop,LAMB WITH BONE,0.85241497,18.01,2.0,"[18, 20)"
oka cheese gouda,CHEESE SEMIHARD,0.8684616,8.65,2.0,"[8, 10)"
havarti,HAKE,0.91426134,10.12,2.0,"[10, 12)"
knorr homestyle beef stock,BEEF WITH BONE,0.83848053,19.54,2.0,"[18, 20)"
beef hot dog alright too pork,PORK SAUSAGE,0.8454741,17.94,2.0,"[16, 18)"
beef bouillon concentrate,BEEF WITH BONE,0.8555654,19.54,2.0,"[18, 20)"
praline,PLAICE,0.8254104,6.13,2.0,"[6, 8)"
beef bouillon gravy,BEEF WITH BONE,0.86956334,19.54,2.0,"[18, 20)"
mimolette cheese,CHEESE SEMIHARD,0.88712287,8.65,2.0,"[8, 10)"
sangria,PECORINO,0.824827,18.85,2.0,"[18, 20)"
bucheron goat cheese,GOAT CHEESE,0.9387772,8.18,2.0,"[8, 10)"
topping not,SOLE,0.8714565,5.4,2.0,"[4, 6)"
delice cheese,CHEESE SEMIHARD,0.90726584,8.65,2.0,"[8, 10)"
pork shoulder sausage,PORK SAUSAGE,0.98173714,17.94,2.0,"[16, 18)"
pork loin chop total,PORK SAUSAGE,0.87563556,17.94,2.0,"[16, 18)"
kombucha,HAKE,0.8197159,10.12,2.0,"[10, 12)"
pork bun,PORK HAM,0.93392706,7.93,2.0,"[6, 8)"
scallop shrimp,SHRIMP,0.9154186,11.95,2.0,"[10, 12)"
chocolate almond extract,ALMOND CHOCOLATE,0.96340346,4.8,2.0,"[4, 6)"
pork chop roast,PORK SAUSAGE,0.882662,17.94,2.0,"[16, 18)"
soy braised pork belly,PORK HAM,0.8599633,7.93,2.0,"[6, 8)"
pork tenderloin chop,PORK SAUSAGE,0.89521426,17.94,2.0,"[16, 18)"
pork belly must meat mi,PORK SAUSAGE,0.81639946,17.94,2.0,"[16, 18)"
sirloin steak gristle,BEEF WITH BONE,0.82958126,19.54,2.0,"[18, 20)"
tauk kwa,HAKE,0.82686543,10.12,2.0,"[10, 12)"
granadilla,GRANA PADANO,0.81473446,14.27,2.0,"[14, 16)"
pork must,PORK NECK,0.8731166,4.03,2.0,"[4, 6)"
beef shoulder tender roast,BEEF WITH BONE,0.84372914,19.54,2.0,"[18, 20)"
meatloaf mix pork,PORK SAUSAGE,0.87514234,17.94,2.0,"[16, 18)"
niter kibbeh butter,BUTTER,0.8604843,9.9,2.0,"[8, 10)"
pork chop ea,PORK NECK,0.90461403,4.03,2.0,"[4, 6)"
beef tail,BEEF WITH BONE,0.889264,19.54,2.0,"[18, 20)"
hake,HAKE,0.99999976,10.12,2.0,"[10, 12)"
pork sparerib apart,PORK NECK,0.8632095,4.03,2.0,"[4, 6)"
meatball beef turkey,BEEF WITH BONE,0.8527453,19.54,2.0,"[18, 20)"
pork chicken,PORK HAM,0.8903532,7.93,2.0,"[6, 8)"
dory fillet,PORBEAGLE,0.84550166,11.44,2.0,"[10, 12)"
bacos bacon,BACON,0.9285684,4.03,2.0,"[4, 6)"
mee chun,HAKE,0.83050704,10.12,2.0,"[10, 12)"
shrimp chip,SHRIMP,0.9281608,11.95,2.0,"[10, 12)"
chocolate star,CHOCOLATE,0.93573606,6.6,2.0,"[6, 8)"
cantonese roast pork,PORK SAUSAGE,0.86255205,17.94,2.0,"[16, 18)"
pkg goat cheese,GOAT CHEESE,0.9073083,8.18,2.0,"[8, 10)"
tostada bowl,GRANA PADANO,0.81399846,14.27,2.0,"[14, 16)"
cheese product,CHEESE,0.8843467,11.87,2.0,"[10, 12)"
parmesan cheese bread crumb,CHEESE SEMIHARD,0.8412447,8.65,2.0,"[8, 10)"
spiny lobster tail,LOBSTER,0.8237742,19.3,2.0,"[18, 20)"
boston butt pork shoulder roast,PORK SAUSAGE,0.85307926,17.94,2.0,"[16, 18)"
rack lamb rib,LAMB WITH BONE,0.85965973,18.01,2.0,"[18, 20)"
venison tenderloin steak,BEEF WITH BONE,0.85256886,19.54,2.0,"[18, 20)"
dietz watson provolone cheese,CHEESE SEMIHARD,0.83140033,8.65,2.0,"[8, 10)"
lamb neck chop,LAMB WITH BONE,0.854236,18.01,2.0,"[18, 20)"
non,SOLE,0.90334153,5.4,2.0,"[4, 6)"
molokhiya,HAKE,0.8405043,10.12,2.0,"[10, 12)"
lobster claw,LOBSTER,0.91283405,19.3,2.0,"[18, 20)"
maine lobster,LOBSTER,0.81387067,19.3,2.0,"[18, 20)"
meat lamb,LAMB WITH BONE,0.866377,18.01,2.0,"[18, 20)"
molokheya,HAKE,0.8402247,10.12,2.0,"[10, 12)"
basturma pastrami,GRANA PADANO,0.82563865,14.27,2.0,"[14, 16)"
fideo vermicelli,PARMIGIANO REGGIANO,0.8639067,14.08,2.0,"[14, 16)"
pork fillet leg,PORK SAUSAGE,0.9018979,17.94,2.0,"[16, 18)"
labneh cheese,CHEESE,0.88406134,11.87,2.0,"[10, 12)"
moisture mozzarella cheese,CHEESE SEMIHARD,0.8410623,8.65,2.0,"[8, 10)"
liquid bacon dripping,BACON,0.8454969,4.03,2.0,"[4, 6)"
beef tri tip sirloin,BEEF WITH BONE,0.84815097,19.54,2.0,"[18, 20)"
beef stew meat chili,BEEF WITH BONE,0.82203174,19.54,2.0,"[18, 20)"
longhorn colby cheese,CHEESE SEMIHARD,0.8419713,8.65,2.0,"[8, 10)"
bulk pork breakfast sausage,PORK SAUSAGE,0.8880676,17.94,2.0,"[16, 18)"
texas cheese toast,CHEESE SEMIHARD,0.8162908,8.65,2.0,"[8, 10)"
chocolate crust,CHOCOLATE,0.9502491,6.6,2.0,"[6, 8)"
goat cheese log,GOAT CHEESE,0.91678953,8.18,2.0,"[8, 10)"
oil pork,PORK NECK,0.8708001,4.03,2.0,"[4, 6)"
lamb neck fillet,LAMB WITH BONE,0.8676228,18.01,2.0,"[18, 20)"
shrimp salad,SHRIMP,0.84690285,11.95,2.0,"[10, 12)"
veal beef meat,BEEF WITH BONE,0.90250075,19.54,2.0,"[18, 20)"
pork hock bacon,PORK HAM,0.89840007,7.93,2.0,"[6, 8)"
without,SOLE,0.877021,5.4,2.0,"[4, 6)"
flat fish,FLATFISH,0.8602645,6.41,2.0,"[6, 8)"
dawa,HAKE,0.85430306,10.12,2.0,"[10, 12)"
rockfish fillet,ROCK FISH,0.9144467,6.94,2.0,"[6, 8)"
mincemeat lamb,LAMB WITH BONE,0.8321563,18.01,2.0,"[18, 20)"
samp,HAKE,0.8354137,10.12,2.0,"[10, 12)"
biltong,CAMEMBERT,0.84160316,7.55,2.0,"[6, 8)"
litchi,PECORINO,0.8531602,18.85,2.0,"[18, 20)"
pork belly sparerib,PORK HAM,0.8905299,7.93,2.0,"[6, 8)"
amarula cream,CREAM,0.8761873,5.34,2.0,"[4, 6)"
beef pork sparerib,PORK SAUSAGE,0.8860779,17.94,2.0,"[16, 18)"
cream maybe le,CREAM,0.87808955,5.34,2.0,"[4, 6)"
halva,HAKE,0.864123,10.12,2.0,"[10, 12)"
rapoko,HAKE,0.8221641,10.12,2.0,"[10, 12)"
yak meat beef,BEEF WITH BONE,0.8661083,19.54,2.0,"[18, 20)"
pork finely,PORK SAUSAGE,0.90676636,17.94,2.0,"[16, 18)"
prawn powder,PRAWN,0.86169994,11.95,2.0,"[10, 12)"
kefir cheese,CHEESE,0.8777742,11.87,2.0,"[10, 12)"
prune butter,BUTTER,0.8956803,9.9,2.0,"[8, 10)"
halvah,HAKE,0.8578874,10.12,2.0,"[10, 12)"
pork loin julienne,PORK HAM,0.91503316,7.93,2.0,"[6, 8)"
lingcod,LING,0.84517455,6.45,2.0,"[6, 8)"
anchovy shrimp,SHRIMP,0.84846663,11.95,2.0,"[10, 12)"
clear beef stock,BEEF BONE FREE,0.81520444,27.72,2.0,"[26, 28)"
seafood mussel,SWARDFISH,0.8372192,12.84,2.0,"[12, 14)"
kelp noodle,PRAWN,0.8239047,11.95,2.0,"[10, 12)"
pork shoulder loin,PORK NECK,0.9423098,4.03,2.0,"[4, 6)"
catfish halibut,CATFISH,0.92018104,8.93,2.0,"[8, 10)"
beef sirloin tip market,BEEF WITH BONE,0.81579494,19.54,2.0,"[18, 20)"
pork pate cha lua,PORK HAM,0.87592095,7.93,2.0,"[6, 8)"
ngo om,EMMENTAL,0.84830356,8.2,2.0,"[8, 10)"
spreadable pork,PORK SAUSAGE,0.8232808,17.94,2.0,"[16, 18)"
vietnamese pork,PORK HAM,0.85715157,7.93,2.0,"[6, 8)"
oyster shrimp,SHRIMP,0.8808423,11.95,2.0,"[10, 12)"
lamb head,LAMB WITH BONE,0.83997446,18.01,2.0,"[18, 20)"
lamb tongue,LAMB WITH BONE,0.8349688,18.01,2.0,"[18, 20)"
lamb pluck,LAMB WITH BONE,0.8734206,18.01,2.0,"[18, 20)"
swai fillet,PLAICE,0.81879956,6.13,2.0,"[6, 8)"
cream qashta,CREAM,0.898096,5.34,2.0,"[4, 6)"
cream filling,CREAM,0.95924723,5.34,2.0,"[4, 6)"
kimion,HAKE,0.8696139,10.12,2.0,"[10, 12)"
that,EMMENTAL,0.8485135,8.2,2.0,"[8, 10)"
beef grain,BEEF WITH BONE,0.83618546,19.54,2.0,"[18, 20)"
pork chop strip,PORK NECK,0.8569046,4.03,2.0,"[4, 6)"
mai,HAKE,0.83086866,10.12,2.0,"[10, 12)"
pork chinese,PORK HAM,0.8886681,7.93,2.0,"[6, 8)"
sunflower oil pork,PORK HAM,0.8264026,7.93,2.0,"[6, 8)"
picnic pork roast belly,PORK SAUSAGE,0.8410189,17.94,2.0,"[16, 18)"
pork tenderloin cutlet,PORK SAUSAGE,0.8742,17.94,2.0,"[16, 18)"
jumbo prawn,PRAWN,0.8202881,11.95,2.0,"[10, 12)"
char pork,PORK NECK,0.92403114,4.03,2.0,"[4, 6)"
rack american pork,PORK HAM,0.82063246,7.93,2.0,"[6, 8)"
char siu pork roast,PORK SAUSAGE,0.87868077,17.94,2.0,"[16, 18)"
shrimp mince,SHRIMP,0.9038013,11.95,2.0,"[10, 12)"
beef frying steak strip,BEEF WITH BONE,0.8411006,19.54,2.0,"[18, 20)"
pork tenderloin butt,PORK SAUSAGE,0.8958333,17.94,2.0,"[16, 18)"
pork sparerib butcher,PORK SAUSAGE,0.8349254,17.94,2.0,"[16, 18)"
kway teow,HAKE,0.83878064,10.12,2.0,"[10, 12)"
tofurkey,HAKE,0.8528792,10.12,2.0,"[10, 12)"
center pork rib chop,PORK SAUSAGE,0.86875236,17.94,2.0,"[16, 18)"
mange tout,HAKE,0.8263274,10.12,2.0,"[10, 12)"
straight,SOLE,0.8354708,5.4,2.0,"[4, 6)"
catfish meat,CATFISH,0.86849886,8.93,2.0,"[8, 10)"
block cheddar cheese,CHEESE SEMIHARD,0.8732589,8.65,2.0,"[8, 10)"
breakfast pork sausage,PORK SAUSAGE,0.8934825,17.94,2.0,"[16, 18)"
colby pepperjack cheese,CHEESE SEMIHARD,0.840493,8.65,2.0,"[8, 10)"
rancherito cheese,CHEESE SEMIHARD,0.81083643,8.65,2.0,"[8, 10)"
queso quesadilla cheese,CHEESE SEMIHARD,0.8694002,8.65,2.0,"[8, 10)"
kraft cheddar monterey jack cheese,CHEESE SEMIHARD,0.83172745,8.65,2.0,"[8, 10)"
cheddar swiss cheese,CHEESE SEMIHARD,0.8371369,8.65,2.0,"[8, 10)"
beef chuck roast meat,BEEF WITH BONE,0.8409184,19.54,2.0,"[18, 20)"
simple beef mixture,BEEF BONE FREE,0.8553793,27.72,2.0,"[26, 28)"
queso cheese,CHEESE,0.8802949,11.87,2.0,"[10, 12)"
