RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
ear mushroom,MUSHROOM,0.8849996,1.78
gula,QUINOA,0.839992,0.96
mango pineapple,MANGO JUICE,0.9052991,2.96
rice cracker biscuit,WHOLEGRAIN CRACKER,0.8214582,0.99
pork finely,PORK SAUSAGE,0.90676636,17.94
satay peanut sauce,PEANUT PASTE,0.90866053,1.84
red syrup,RED CHILLI,0.88616073,0.8
prawn powder,PRAWN,0.86169994,11.95
pollock fillet,POLLOCK STICK,0.9189579,2.14
pork tenderloin chicken breast,CHICKEN WITH BONE,0.8640025,3.25
peteh bean,BEAN,0.9288089,0.67
kefir cheese,CHEESE,0.8777742,11.87
cassata,TANGERIN,0.83885443,0.38
pistachio almond,PISTACHIO,0.900156,1.6
chickpea juice,CHICKPEA,0.84702814,0.67
maida flour pastry,SORGHUM FLOUR,0.8525225,1.33
orange juice red wine,WINE RED,0.8712946,1.02
prune butter,BUTTER,0.8956803,9.9
halvah,HAKE,0.8578874,10.12
grape juice concentrate jelly,CRANBERRY JUICE,0.813748,2.88
purpose gluten flour,SORGHUM FLOUR,0.8902147,1.33
serving vegetable,VEGETABLE,0.8853409,0.69
flat wheat noodle,WHEAT PLAIN FLOUR,0.8840979,0.61
cherry liquor,CHERRY,0.820912,0.49
raspberry preserve matter,RASPBERRY,0.8567624,0.63
matzo cracker farfel,WHOLEGRAIN CRACKER,0.8886951,0.99
pot greek yogurt,YOGURT FLAVOUR,0.8475828,2.81
vegetable bok choy,VEGETABLE,0.8493236,0.69
vegetable like sprout,VEGETABLE,0.86906695,0.69
oil soybean,SOYBEAN OIL,0.97733027,2.3
stock fish,FISH STICK,0.8416303,2.26
pork loin julienne,PORK HAM,0.91503316,7.93
lingcod,LING,0.84517455,6.45
szechwan peanut sauce,PEANUT BUTTER,0.84969586,1.15
garlic lime mayonnaise,MAYONNAISE,0.8158524,2.04
julienne vegetable celery,CELERY,0.81855696,0.32
fruit grape,GRAPE,0.89232576,0.39
soybean paste market,SOYBEAN,0.8728917,0.6
rice flour noodle,SORGHUM FLOUR,0.86241585,1.33
vegetable capsicum,VEGETABLE,0.83119273,0.69
anchovy shrimp,SHRIMP,0.84846663,11.95
marinade tequilla lime,LIME,0.8282652,0.22
clear beef stock,BEEF BONE FREE,0.81520444,27.72
soba noodle hair pasta,PASTA,0.8417245,1.24
rice mai,RICE,0.93568486,2.54
seafood mussel,SWARDFISH,0.8372192,12.84
kelp noodle,PRAWN,0.8239047,11.95
sugar honey,BEET SUGAR,0.84441817,0.89
pork steak chop,PORK WITH BONE,0.8657836,3.5
wing bean,BEAN,0.8631177,0.67
kikkoman soy glaze,SOY CREAM,0.86139894,1.62
baby corn diagonally,CORN CAN,0.86619174,1.36
pork shoulder loin,PORK NECK,0.9423098,4.03
catfish halibut,CATFISH,0.92018104,8.93
beef sirloin tip market,BEEF WITH BONE,0.81579494,19.54
red chilli,RED CHILLI,1.0,0.8
pork pate cha lua,PORK HAM,0.87592095,7.93
ngo om,EMMENTAL,0.84830356,8.2
approximately rice vermicelli,RICE MILK,0.8175478,0.8
glutinous flour,SORGHUM FLOUR,0.81052387,1.33
extra peanut oil,PEANUT OIL,0.88993317,2.9
fish powder,HAKE FISH STICK,0.8559685,2.14
spreadable pork,PORK SAUSAGE,0.8232808,17.94
rice noodle wide,RICE MILK,0.826049,0.8
rice ball,RICE,0.9069004,2.54
vietnamese pork,PORK HAM,0.85715157,7.93
oyster shrimp,SHRIMP,0.8808423,11.95
brine from gherkin,GHERKIN,0.8559684,0.23
green bean jelly,GREEN BEAN,0.8640218,0.73
mung bean noodle green,GREEN BEAN IN CAN,0.85086584,1.45
substitute mackerel,MACKEREL,0.8695569,2.05
coconut juice soda,COCONUT MILK,0.85431874,0.41
arab flat bread,BREAD PLAIN,0.8352293,0.97
lamb head,LAMB WITH BONE,0.83997446,18.01
lamb tongue,LAMB WITH BONE,0.8349688,18.01
olive calamata,OLIVE,0.9123796,0.59
bundle rice vermicelli,RICE MILK,0.81705815,0.8
mousto,WHITING,0.8387454,2.66
wheat bulghar,DURUM WHEAT,0.90565753,0.48
lamb pluck,LAMB WITH BONE,0.8734206,18.01
vegetable tomato zucchini,TOMATO CHOP,0.869683,1.41
type,QUORN,0.8546998,2.5
trident rice vermicelli,RICE MILK,0.81501913,0.8
swai fillet,PLAICE,0.81879956,6.13
red pepper length,RED CHILLI,0.86979926,0.8
cashew oil,CASHEW NUT,0.8620171,1.56
rice flour white,WHOLE WHEAT FLOUR,0.82986623,0.38
tangerine juice concentrate,CRANBERRY JUICE,0.83289135,2.88
soybean sauce,SOYBEAN OIL,0.9065223,2.3
cream qashta,CREAM,0.898096,5.34
yeast water,YEAST LIQUID,0.95462936,0.5
brand mango juice,MANGO JUICE,0.95214087,2.96
carrot green,GREEN BEAN,0.87472117,0.73
meyer lemon well,LEMON,0.81256884,0.22
greek yogurt chobani non,YOGURT WHITE,0.83786166,2.1
apricot fruit jam,CRANBERRY JUICE,0.8516084,2.88
chicken stock oxo cube,CHICKEN WITH BONE,0.83517957,3.25
wide egg noodle batch,EGG PASTA,0.83180666,3.19
attar sugar syrup,BEET SUGAR,0.85411793,0.89
cream filling,CREAM,0.95924723,5.34
wheat hour,WHEAT,0.87017256,0.67
chaimen,MILLET,0.8769951,0.86
kimion,HAKE,0.8696139,10.12
agave sugar,BEET SUGAR,0.87187624,0.89
na'an bread,BREAD WHOLE,0.9122759,0.78
gefilte fish,MAKEREL FISH STICK,0.8845129,1.02
corn oil more,CORN CAN,0.864412,1.36
mulberry cranberry,CRANBERRY,0.93661445,0.9
vegetable broth chicken stock,CHICKEN WITH BONE,0.8434477,3.25
head fish,FISH STICK,0.909825,2.26
grilling chicken flavor,CHICKEN WITH BONE,0.814171,3.25
bun grain,MILLET FLOUR,0.8393702,1.37
leafy green spinach,GREEN BEAN,0.8496723,0.73
asst vegetable,VEGETABLE,0.9307728,0.69
rice noodle bean,MUNG BEAN FLOUR,0.85270965,1.49
kimion cumin,QUORN,0.86547494,2.5
mini graham cracker tart crust,FLAVOR CRACKER,0.8507108,1.01
khubz,GHERKIN,0.8347562,0.23
chicken chilli,CHICKEN WITH BONE,0.839741,3.25
labneh yogurt cheese,SOY YOGURT,0.91696024,1.36
wheat pit bread,WHOLE WHEAT FLOUR,0.87890285,0.38
olive oil plus matzo,OLIVE OIL,0.8784039,3.84
plum filling,PLUM,0.91602737,0.27
egg yolk revision below,EGGPLANT,0.8155423,0.45
pea carrot corn,CORNFLAKES CEREAL,0.83676887,2.64
chicken tender tenderloin,CHICKEN WITH BONE,0.8498598,3.25
deep red rose petal,WINE RED,0.8186565,1.02
chicken thigh lengthwise,CHICKEN WITH BONE,0.8219828,3.25
that,EMMENTAL,0.8485135,8.2
egg put,EGG,0.9648489,3.23
ball bean noodle,BEAN FLOUR,0.8328319,1.32
gai lan broccoli leaf,BROCCOLI,0.8186282,0.67
beef grain,BEEF WITH BONE,0.83618546,19.54
flour cake,CAKE,0.8793758,2.23
mushroom stock see,MUSHROOM,0.8395138,1.78
cod cheek,COD,0.90479255,3.29
egg noodle lo mein,EGG PASTA,0.88129985,3.19
vh cooking sauce,COOKY,0.8222743,1.5
apple jelly apricot jam,CRANBERRY JUICE,0.847785,2.88
flatfish fish fillet,COD FISH STICK,0.8586068,2.14
soy ham,SOY BURGER,0.8835765,1.48
baby corn spear,CORN CAN,0.8607968,1.36
mushroom chinese,MUSHROOM,0.8338846,1.78
vegetable been shoot,VEGETABLE,0.8285847,0.69
pork chop strip,PORK NECK,0.8569046,4.03
orange juice next time,ORANGE JUICE,0.8485414,0.62
sesame dressing,SESAME SEED,0.897719,0.88
mai,HAKE,0.83086866,10.12
turkey skin,TURKEY WITH BONE,0.87211,2.08
knob vegetable,VEGETABLE,0.87298024,0.69
dynasty sesame oil,SESAME SEED,0.88353324,0.88
tahini paste sesame seed,SESAME SEED,0.83691275,0.88
noh chicken seasoning,CHICKEN WITH BONE,0.81601804,3.25
peanut oil consider,PEANUT OIL,0.9527722,2.9
punnet baby corn diagonally,CORNFLAKES CEREAL,0.8700652,2.64
sunflower oil chicken meat,CHICKEN WITH BONE,0.8108014,3.25
plum liquid,PLUM,0.9240151,0.27
stir pepper,PEPPER,0.8615074,0.58
peanut oil cooking,PEANUT OIL,0.8696099,2.9
egg noodle oil,EGG PASTA,0.88112175,3.19
pork chinese,PORK HAM,0.8886681,7.93
sunflower oil pork,PORK HAM,0.8264026,7.93
sunflower oil butter,SUNFLOWER OIL,0.8951616,0.99
picnic pork roast belly,PORK SAUSAGE,0.8410189,17.94
pork tenderloin cutlet,PORK SAUSAGE,0.8742,17.94
jumbo prawn,PRAWN,0.8202881,11.95
pack bean curd,BEAN FLOUR,0.84116304,1.32
dl vegetable stock,VEGETABLE,0.84091306,0.69
rice noodle bean thread,MUNG BEAN FLOUR,0.8682307,1.49
char pork,PORK NECK,0.92403114,4.03
jumbo biscuit,WHOLEGRAIN CRACKER,0.8175001,0.99
anchovy ikan,ANCHOVY,0.9487985,0.81
orange citrus peel,ORANGE JUICE,0.8621544,0.62
moo,QUORN,0.8488469,2.5
planter peanut oil,PEANUT OIL,0.93138826,2.9
lapsand,CARROB,0.8172208,1.1
white wheat noodle,WHOLE WHEAT FLOUR,0.8137919,0.38
sea cucumber,CUCUMBER,0.8510238,0.32
rack american pork,PORK HAM,0.82063246,7.93
vegetable eggplant green bean,GREEN BEAN,0.85715747,0.73
sesame paste water,SESAME SEED,0.8678229,0.88
chinese wheat flour noodle,WHOLE WHEAT FLOUR,0.8167962,0.38
pork loin baby back rib,PORK WITH BONE,0.8556998,3.5
tbsps peanut oil,PEANUT OIL,0.95480216,2.9
bean paste sauce,BEAN FLOUR,0.85372525,1.32
asian sesame seed oil,SESAME SEED,0.8637842,0.88
char siu pork roast,PORK SAUSAGE,0.87868077,17.94
fish fillet trout,TROUT,0.9070043,3.65
salt pepper soy sauce,SOY CREAM,0.83338124,1.62
shrimp mince,SHRIMP,0.9038013,11.95
chinese,MANDARIN,0.82695657,0.4
planter fancy cashew,CASHEW NUT,0.84335065,1.56
orange opt,ORANGE,0.9580867,0.35
beef frying steak strip,BEEF WITH BONE,0.8411006,19.54
lime mahi,LIME,0.9304275,0.22
cashew milk,CASHEW NUT,0.8526678,1.56
red pepper mean,RED CHILLI,0.8692186,0.8
pork tenderloin butt,PORK SAUSAGE,0.8958333,17.94
soy ginger broth,SOY CREAM,0.82897323,1.62
rock cod fish,COD FISH STICK,0.90368664,2.14
foil banana leaf,BANANA,0.87258375,0.38
chutney sauce,SPINACH,0.8262439,0.48
wheat starch flour,WHOLE WHEAT FLOUR,0.9386188,0.38
peanut coarsely,PEANUT,0.83006936,0.89
thread egg noodle,EGG PASTA,0.8989108,3.19
gluten chicken,CHICKEN WITH BONE,0.86492246,3.25
coconut cream powder,COCONUT MILK,0.85588396,0.41
naan bread crust,BREAD WHOLE,0.8917239,0.78
egg noodle chinese,EGG PASTA,0.83097565,3.19
baby corn coarsely,CORN CAN,0.8135133,1.36
trident baby corn,CORN CAN,0.84169304,1.36
vegetable mustard green,GREEN BEAN,0.84418035,0.73
pork chop rib,PORK WITH BONE,0.8941113,3.5
baby corn lengthways,CORN CAN,0.8807222,1.36
planter peanut,PEANUT PASTE,0.88001794,1.84
torani mango syrup,MANGO JUICE,0.90044224,2.96
rice flour water,RICE MILK,0.8792219,0.8
gingerroot out,GINGER,0.83339214,0.88
seasoning soy sauce sugar,SOY CREAM,0.8408001,1.62
blachan,QUORN,0.82409847,2.5
dole reg,GHERKIN,0.8259879,0.23
sesame oil choice,SESAME SEED,0.8794552,0.88
pineapple juice chunk,PINEAPPLE JUICE,0.9532551,2.78
dole orange peach mango juice concentrate,MANGO JUICE,0.8136579,2.96
stirfry vegetable,OAT MEAL,0.83097935,1.13
vegetable oil chicken,CHICKEN WITH BONE,0.8479043,3.25
dekuyper pineapple,PINEAPPLE,0.9188794,0.34
apple cider syrup,APPLE JUICE,0.87640935,2.84
yard bean,BEAN,0.83528924,0.67
pork sparerib butcher,PORK SAUSAGE,0.8349254,17.94
oil sesame,SESAME SEED,0.8559389,0.88
kway teow,HAKE,0.83878064,10.12
sugar pancake syrup,CHOCOLATE CREAM COOKY,0.8442669,1.69
young green bean,GREEN BEAN,0.9248156,0.73
tofurkey,HAKE,0.8528792,10.12
sesame peanut oil,PEANUT OIL,0.8842156,2.9
satay peanut sauce coconut milk,COCONUT MILK,0.8548977,0.41
center pork rib chop,PORK SAUSAGE,0.86875236,17.94
mandarin orange wedge juice,ORANGE JUICE,0.8250838,0.62
mung bean yellow,BEAN FLOUR,0.8522771,1.32
mange tout,HAKE,0.8263274,10.12
coriander seed root,CAULIFLOWER,0.8149252,0.32
sauce pepper,PEPPER,0.836251,0.58
chicken breast pepper,CHICKEN WITH BONE,0.85962665,3.25
egg noodle weight,EGG PASTA,0.85339606,3.19
straight,SOLE,0.8354708,5.4
lemon sole,LEMON,0.9452451,0.22
coconut juice orange,ORANGE JUICE,0.8549279,0.62
red pepper hot,RED CHILLI,0.8149616,0.8
catfish meat,CATFISH,0.86849886,8.93
mexi corn,CORN CAN,0.8903694,1.36
goya tomato sauce,TOMATO PEEL,0.9041822,1.28
chicken fajita seasoning,CHICKEN WITH BONE,0.8160534,3.25
cornbread crust,CORNFLAKES CEREAL,0.8647257,2.64
chicken topping,CHICKEN WITH BONE,0.87796324,3.25
chicken filling,CHICKEN WITH BONE,0.8795351,3.25
block cheddar cheese,CHEESE SEMIHARD,0.8732589,8.65
breakfast pork sausage,PORK SAUSAGE,0.8934825,17.94
colby pepperjack cheese,CHEESE SEMIHARD,0.840493,8.65
rancherito cheese,CHEESE SEMIHARD,0.81083643,8.65
tzatziki sauce cucumber,CUCUMBER,0.8614518,0.32
yellow corn kernel,CORNFLAKES CEREAL,0.81201386,2.64
queso quesadilla cheese,CHEESE SEMIHARD,0.8694002,8.65
lime mayonnaise,MAYONNAISE,0.87167454,2.04
chipotle cream sauce,CHOCOLATE CREAM COOKY,0.8580307,1.69
kraft cheddar monterey jack cheese,CHEESE SEMIHARD,0.83172745,8.65
up deli rotisserie chicken,CHICKEN WITH BONE,0.8153323,3.25
cheddar swiss cheese,CHEESE SEMIHARD,0.8371369,8.65
chicken marinade,CHICKEN WITH BONE,0.88205165,3.25
pepper from,PEPPER,0.9418323,0.58
masa corn flour meal,MAIZE FLOUR,0.87818897,1.31
jumbo english muffin,CRISPBREAD,0.8129797,1.36
beef chuck roast meat,BEEF WITH BONE,0.8409184,19.54
corn bread topping,CORNFLAKES CEREAL,0.84647965,2.64
simple beef mixture,BEEF BONE FREE,0.8553793,27.72
goya pineapple chunk,PINEAPPLE JUICE,0.90351886,2.78
tex tomato,TOMATO,0.85578734,0.48
queso cheese,CHEESE,0.8802949,11.87
process cheese food,CHEESE SEMIHARD,0.8904522,8.65
enchilada,GRANA PADANO,0.8510659,14.27
plain tortilla chip,PLAIN CRACKER,0.86801183,1.24
cellentani pasta,PASTA,0.8337718,1.24
goya corn oil,CORN CAN,0.858955,1.36
sazon goya without annatto,PESTO WITHOUT GARLIC,0.8208511,2.72
celery diagonally,CELERY,0.8724488,0.32
spicy tomato,TOMATO,0.8153776,0.48
kernel corn pepper,CORNFLAKES CEREAL,0.85564625,2.64
pumpkin flower,PUMPKIN,0.86976975,0.38
shrimp powder,SHRIMP,0.8747839,11.95
king mackerel fillet,MACKEREL,0.8176253,2.05
dietz,CAMEMBERT,0.8177666,7.55
wheat tortilla wrap,WHOLE WHEAT FLOUR,0.8789985,0.38
bean cheese burrito,CHEESE SEMIHARD,0.8353116,8.65
brown green lentil,GREEN BEAN,0.8821986,0.73
chicken tamale,CHICKEN WITH BONE,0.8793595,3.25
corn flour tortilla,CORNFLAKES CEREAL,0.8823598,2.64
bannock,CAMEMBERT,0.8101837,7.55
cow milk cheese,COW MILK,0.9032793,1.43
longhorn cheddar cheese,CHEESE SEMIHARD,0.8647489,8.65
sopes,HAKE,0.88387346,10.12
fig jelly,FIG JUICE,0.88062185,3.2
chili tomato,TOMATO CHOP,0.8745538,1.41
red tostada shell,RED CHILLI,0.81053615,0.8
paper onion,ONION,0.8838745,0.24
goat leg,GOAT CHEESE,0.8106556,8.18
lime wheel,LIME,0.9319477,0.22
lemon flavor yogurt,YOGURT FLAVOUR,0.8970586,2.81
cracker barrel,WHOLEGRAIN CRACKER,0.8833004,0.99
jigger orange juice,ORANGE JUICE,0.8462391,0.62
wedge orange,ORANGE,0.8959594,0.35
masa harina corn mix,CORN CAN,0.863051,1.36
pinole maize flour,MAIZE FLOUR,0.95650995,1.31
soy burger crumbles,SOY BURGER,0.82289684,1.48
turkey burger,TURKEY WITH BONE,0.83805907,2.08
southwestern vegetable,VEGETABLE,0.86918306,0.69
star pasta,PASTA,0.85410905,1.24
mini corn tortilla chip,CORNFLAKES CEREAL,0.876215,2.64
devil chocolate cake mix,CHOCOLATE CREAM COOKY,0.84547305,1.69
cajeta milk syrup,MILK CHOCOLATE,0.8652686,3.6
espresso coffee granule,COFFEE POWDER,0.863479,0.33
white red burgundy wine,WINE RED,0.84144926,1.02
stem ginger,GINGER,0.84337735,0.88
pork sausagemeat,PORK SAUSAGE,0.96460366,17.94
wedge cucumber,CUCUMBER,0.9357828,0.32
scone,MILLET,0.8398728,0.86
cox apple,APPLE,0.8994,0.31
homestyle beef gravy,BEEF WITH BONE,0.84793156,19.54
marrons chestnut,CHESTNUT,0.88900197,0.64
prune plum,PLUM,0.83163756,0.27
milk chocolate caramel nougat bar,MILK CHOCOLATE,0.8723835,3.6
bread pudding,BREAD WHOLE,0.8495519,0.78
link pork sausage,PORK SAUSAGE,0.96850157,17.94
mincemeat filling,OAT MEAL,0.8460289,1.13
chicken lamb stock,CHICKEN WITH BONE,0.85085285,3.25
beef bacon dripping,BACON,0.83443755,4.03
aji pepper,PEPPER,0.89577293,0.58
aji amarillo,QUINOA,0.8358615,0.96
pineapple vodka,PINEAPPLE JUICE,0.8330662,2.78
pimiento olive,OLIVE,0.90240467,0.59
cook vareniky,COOKY,0.8167135,1.5
kefir,HAKE,0.87330294,10.12
struesel topping,PLAICE,0.8325871,6.13
wheat pastry crust,WHOLE WHEAT FLOUR,0.88135415,0.38
yeast extract spread,YEAST COMPRESS,0.8926865,0.82
garnish peanut,PEANUT PASTE,0.94278544,1.84
chocolate topping,CHOCOLATE,0.9703842,6.6
carp roe,CARP,0.9206399,1.8
brine feta cheese,CHEESE SEMIHARD,0.9031286,8.65
cream sauce layer,CHOCOLATE CREAM COOKY,0.8591844,1.69
pork tenderloin medallion,PORK HAM,0.8874453,7.93
lamb skewer,LAMB WITH BONE,0.8670187,18.01
half leg lamb,LAMB WITH BONE,0.81361866,18.01
perciatelli pasta,PASTA,0.86799663,1.24
mafalda pasta mini,PASTA,0.8441456,1.24
italian meringue chocolate cream filling,CHOCOLATE CREAM COOKY,0.8591426,1.69
chicken breast chunk,CHICKEN WITH BONE,0.896788,3.25
tri rotini pasta,PASTA,0.8497611,1.24
quark cream,CREAM,0.9005765,5.34
fruity red wine,WINE RED,0.90221417,1.02
cream wheat cereal,CORNFLAKES CEREAL,0.8599659,2.64
cottage cheese milk,CHEESE SEMIHARD,0.8462675,8.65
butter sugar,BUTTER,0.8551637,9.9
fillet pork sirloin,PORK SAUSAGE,0.86023116,17.94
tomato water,TOMATO,0.9428874,0.48
sunflower kernel,SUNFLOWER SEED,0.94805455,1.16
tomato vinaigrette,TOMATO ARRABBIATA,0.89635026,1.26
pasta salad,PASTA,0.83136356,1.24
jalapeno cheese dip,CHEESE SEMIHARD,0.8571392,8.65
red quinoa,RED CHILLI,0.8647479,0.8
beef sirloin tip roast,BEEF WITH BONE,0.8190375,19.54
goya pea,PEA,0.8836336,0.58
llautias,QUINOA,0.8553978,0.96
organic tomato sauce,TOMATO PUREE,0.8385651,1.17
vanilla bean ice cream,HAZELNUT CREAM,0.8516939,2.71
tomato chipotle,TOMATO CHOP,0.9294685,1.41
corn salsa,CORN CAN,0.847316,1.36
orange beverage,ORANGE JUICE,0.87878525,0.62
garlic cheese spread,CHEESE SEMIHARD,0.8328467,8.65
mango cube,MANGO JUICE,0.88449657,2.96
chive cream cheese,CHOCOLATE CREAM COOKY,0.8242331,1.69
basket cherry tomato,TOMATO PEEL,0.82860464,1.28
orange segment,ORANGE,0.95582247,0.35
tortilla crisp,FLAVOR CRACKER,0.81265575,1.01
ham meat spread,PORK HAM,0.8575821,7.93
thompson raisin,RAISIN,0.8910744,0.66
queijo coalho cheese curd,CHEESE SEMIHARD,0.85558856,8.65
crumb,OAT,0.844443,0.7
rack beef rib,BEEF WITH BONE,0.90026194,19.54
panquehue cheese,CHEESE,0.8742307,11.87
red aji pepper,RED CHILLI,0.84833294,0.8
dill pickle brine,KETCHUP,0.8121985,1.46
peel lime,LIME,0.8676229,0.22
beef sirloin steak grain,BEEF WITH BONE,0.8655621,19.54
overripe banana,BANANA,0.8382637,0.38
lemon rum,LEMON,0.83801526,0.22
microwaveable broccoli cheese sauce,CHEESE SEMIHARD,0.8387009,8.65
jigger mango nectar,MANGO JUICE,0.90023696,2.96
chicken thigh breast,CHICKEN WITH BONE,0.8937612,3.25
corn truffle,CORN CAN,0.89378774,1.36
kasha buckwheat groat,BUCKWHEAT FLOUR,0.8370967,1.96
beef tenderloin cube,BEEF WITH BONE,0.8468879,19.54
head garlic crosswise,GARLIC,0.86424756,0.67
pita bread pocket,BREAD MULTICEREAL,0.8233912,0.7
goat milk el kasih,GOAT MILK,0.9151542,1.44
almost kai banana,BANANA,0.88623637,0.38
bite broccoli,BROCCOLI,0.9021226,0.67
gluten baking flour,BUCKWHEAT FLOUR,0.8401787,1.96
maifun rice,RICE,0.8766464,2.54
soy vermicelli,SOY MEAL,0.9019502,0.62
peanut canola oil,PEANUT OIL,0.9393935,2.9
lite soy sauce,SOY CREAM,0.9010905,1.62
vegetable potstickers,VEGETABLE,0.83071876,0.69
applewood bacon,BACON,0.8845437,4.03
olive oil spray,OLIVE OIL,0.9561461,3.84
broccoli slaw,BROCCOLI,0.8367449,0.67
cranberry apple chutney,CRANBERRY JUICE,0.8766629,2.88
pork lung,PORK NECK,0.9722585,4.03
sinamak,HAKE,0.843731,10.12
diakon radish,RADISH,0.92592967,0.15
leaf romaine lettuce,LETTUCE,0.91123486,0.4
ube,HAKE,0.8556289,10.12
latik,GHERKIN,0.8812624,0.23
maja blanca,GRANA PADANO,0.8156879,14.27
peanut butter sauce,PEANUT BUTTER,0.9367596,1.15
lumpia wrapper egg,EGGPLANT,0.87334555,0.45
palm seed,PALM NUT,0.907353,0.8
water tofu,TOFU,0.84524477,2.33
house cucumber,CUCUMBER,0.8935012,0.32
gari cassava flour,SORGHUM FLOUR,0.85175693,1.33
injera,QUINOA,0.8289703,0.96
watermelon melon baller,WATERMELON,0.87921214,0.52
young ginger,GINGER,0.87096316,0.88
salt soy sauce,SOY CREAM,0.8692168,1.62
pepper strip,PEPPER,0.91279703,0.58
chunk pineapple juice,PINEAPPLE JUICE,0.95095897,2.78
rayu,HAKE,0.8450994,10.12
lamb leg,LAMB WITH BONE,0.8878131,18.01
green bean carrot,GREEN BEAN,0.91314316,0.73
beluga lentil,LENTIL,0.83485615,1.03
tagine,GHERKIN,0.8505918,0.23
extra peanut butter,PEANUT BUTTER,0.9275204,1.15
lamb breast chop,LAMB WITH BONE,0.8262663,18.01
width rice noodle,RICE MILK,0.84344864,0.8
pork link sausage,PORK SAUSAGE,0.97572696,17.94
rockfish,ROCK FISH,0.964002,6.94
green onion diagonally,GREEN BEAN,0.8233493,0.73
white soy sauce,SOY CREAM,0.8477085,1.62
thai chicken broth,CHICKEN WITH BONE,0.82222915,3.25
naturally soy sauce,SOY CREAM,0.8927654,1.62
pork filling,PORK NECK,0.9190761,4.03
adzuki bean filling,MUNG BEAN FLOUR,0.8838471,1.49
chicken beef broth,CHICKEN WITH BONE,0.8451405,3.25
asian pork,PORK NECK,0.8280512,4.03
stem lettuce,LETTUCE,0.92725384,0.4
peanut corn oil,PEANUT OIL,0.85061777,2.9
chinese moo,MANDARIN,0.825638,0.4
barley miso paste,BARLEY,0.8525108,0.53
strawberry compote,STRAWBERRY,0.954296,0.68
leek green lengthwise,GREEN BEAN,0.8114561,0.73
sushi grade tuna,TUNA IN CAN,0.8475818,2.0
plain flour tortilla,PLAIN CRACKER,0.8560052,1.24
almond sliver,ALMOND,0.9271369,1.9
durian banana extract,BANANA,0.8414192,0.38
chicken curry,CHICKEN WITH BONE,0.82494915,3.25
soy chunk,SOY MEAL,0.90958476,0.62
kucai,HAKE,0.8214106,10.12
kasturi lime,LIME,0.8490894,0.22
fine bulgur wheat,DURUM WHEAT,0.8784059,0.48
hamachi,HAKE,0.8304603,10.12
beef steak grain,BEEF WITH BONE,0.88325155,19.54
white chocolate cheesecake,CHOCOLATE CREAM COOKY,0.84865344,1.69
white chocolate brandy sauce,CHOCOLATE CREAM COOKY,0.8512157,1.69
eat ham,PORK HAM,0.8163361,7.93
herb mayonnaise,MAYONNAISE,0.882794,2.04
apple chip,APPLE,0.91859245,0.31
maguro,QUORN,0.8461861,2.5
tex mex cheddar cheese,CHEESE SEMIHARD,0.818006,8.65
carne asada seasoning,CELERY,0.81373966,0.32
tomato tortilla,TOMATO PUREE,0.91256595,1.17
avocado ranch dressing,AVOCADO,0.85807204,0.54
cornhusk,CORN CAN,0.8526811,1.36
turkey filling,TURKEY WITH BONE,0.85641205,2.08
raisin cranberry,CRANBERRY,0.9323174,0.9
head romaine lettuce leaf,LETTUCE,0.8602944,0.4
ebi,EMMENTAL,0.8681892,8.2
unagi kabayaki eel,EEL,0.81487876,3.88
chicken broth powder,CHICKEN WITH BONE,0.811491,3.25
deli turkey meat,TURKEY WITH BONE,0.85736805,2.08
beef sirloin strip,BEEF WITH BONE,0.8463356,19.54
jalapeno cheese tortilla,CHEESE SEMIHARD,0.8699704,8.65
head cauliflower floret,CAULIFLOWER,0.8780341,0.32
bell pepper yellow,PEPPER,0.8169572,0.58
asafoetida,GRANA PADANO,0.8100165,14.27
cucumber raita,CUCUMBER,0.95642245,0.32
green tamarind,GREEN BEAN,0.8909758,0.73
koftas,HAKE,0.8833095,10.12
amchoor,HAKE,0.86211616,10.12
turnip leaf,TURNIP,0.8738658,0.35
ginger oil,GINGER,0.870014,0.88
heeng,EMMENTAL,0.8727488,8.2
paneer indian cheese curd,CHEESE SEMIHARD,0.8926681,8.65
mango pulp juice,MANGO JUICE,0.9565799,2.96
soy milk creamer,SOY MILK,0.9323576,0.85
vanilla soy yogurt,SOY YOGURT,0.91635936,1.36
tarka,HAKE,0.81435955,10.12
korma,QUORN,0.88261974,2.5
chicken seitan,CHICKEN WITH BONE,0.8857992,3.25
apple chutney,APPLE JUICE,0.8940637,2.84
tumeric,QUORN,0.84261316,2.5
fillet pomfret fish,HAKE FISH STICK,0.8329184,2.14
rom tomato juice,TOMATO PEEL,0.9209906,1.28
carrot matchstick,CARROT CAN,0.8342761,1.6
zucchini matchstick,ZUCCHINI,0.86659694,0.65
pork belly strip,PORK NECK,0.8845991,4.03
egg strip,EGG,0.89880955,3.23
kiwi pulp,KIWI,0.8618498,0.65
durum wheat flour,WHOLE WHEAT FLOUR,0.94894826,0.38
chana dal bean,BEAN,0.85864294,0.67
masoor dhal,GRANA PADANO,0.8249401,14.27
peach mango chutney,PEACH,0.82259744,0.43
hakurei turnip,TURNIP,0.865293,0.35
head lettuce leaf,LETTUCE,0.86599094,0.4
green onion part,GREEN BEAN,0.84569776,0.73
kalbi marinade,TANGERIN,0.8194316,0.38
shishito pepper,PEPPER,0.84021586,0.58
heart romaine lettuce,LETTUCE,0.88599026,0.4
